curve	part	source_handles	x	y
homSF	1	62,63,64,67,66	-53.400629962301181	0.5689875404511614
homSF	1	62,63,64,67,66	-53.400301228137813	0.56895305943100405
homSF	1	62,63,64,67,66	-53.400103946646347	0.56893236725574114
homSF	1	62,63,64,67,66	-53.399778118657309	0.56889819127997154
homSF	1	62,63,64,67,66	-53.399483143427304	0.56886725155366658
homSF	1	62,63,64,67,66	-53.39951478459119	0.56887057077094549
homSF	1	62,63,64,67,66	-53.399139240236906	0.568831180354194
homSF	1	62,63,64,67,66	-53.399046373670565	0.56882143971386145
homSF	1	62,63,64,67,66	-53.3990022548385	0.56881681248319704
homSF	1	62,63,64,67,66	-53.398645206511013	0.5687793623193973
homSF	1	62,63,64,67,66	-53.398708208173467	0.56878597044004353
homSF	1	62,63,64,67,66	-53.398468042860848	0.56876078011981823
homSF	1	62,63,64,67,66	-53.398169531629947	0.56872946999745533
homSF	1	62,63,64,67,66	-53.398250653572582	0.56873797867108755
homSF	1	62,63,64,67,66	-53.39794019634796	0.56870541577438571
homSF	1	62,63,64,67,66	-53.397600297338784	0.56866976482228648
homSF	1	62,63,64,67,66	-53.397689581118634	0.56867912950678579
homSF	1	62,63,64,67,66	-53.397311431317974	0.56863946670414189
homSF	1	62,63,64,67,66	-53.397206383026258	0.56862844858244488
homSF	1	62,63,64,67,66	-53.39697477824928	0.56860415647414742
homSF	1	62,63,64,67,66	-53.39699166821346	0.56860592802223742
homSF	1	62,63,64,67,66	-53.396617839356075	0.5685667187275002
homSF	1	62,63,64,67,66	-53.396614073415513	0.56856632373516613
homSF	1	62,63,64,67,66	-53.396471632669446	0.56855138371607605
homSF	1	62,63,64,67,66	-53.396286511736953	0.56853196727988575
homSF	1	62,63,64,67,66	-53.396138718841769	0.56851646603127082
homSF	1	62,63,64,67,66	-53.395956442433942	0.56849734787291695
homSF	1	62,63,64,67,66	-53.395865198868528	0.56848777783184645
homSF	1	62,63,64,67,66	-53.395620095242045	0.56846207029808782
homSF	1	62,63,64,67,66	-53.395616230772426	0.568461664849363
homSF	1	62,63,64,67,66	-53.395454009142398	0.56844465038196323
homSF	1	62,63,64,67,66	-53.39500962878715	0.56839804212408052
homSF	1	62,63,64,67,66	-53.395035273140387	0.56840073165221816
homSF	1	62,63,64,67,66	-53.394814550021209	0.56837758147895912
homSF	1	62,63,64,67,66	-53.394637060911542	0.56835896587651535
homSF	1	62,63,64,67,66	-53.394365421680718	0.56833047546263893
homSF	1	62,63,64,67,66	-53.394121082662458	0.56830484858490604
homSF	1	62,63,64,67,66	-53.393886723560556	0.56828026849587665
homSF	1	62,63,64,67,66	-53.39387877400155	0.56827943457015795
homSF	1	62,63,64,67,66	-53.393526920420193	0.56824253153938897
homSF	1	62,63,64,67,66	-53.393500277519749	0.56823973719084508
homSF	1	62,63,64,67,66	-53.393362461535325	0.56822528264383032
homSF	1	62,63,64,67,66	-53.393208714324757	0.56820915744296807
homSF	1	62,63,64,67,66	-53.393070512483398	0.56819466268537633
homSF	1	62,63,64,67,66	-53.392989307035769	0.5681861457458679
homSF	1	62,63,64,67,66	-53.39281712390396	0.56816808704518451
homSF	1	62,63,64,67,66	-53.392543407612315	0.56813937954449378
homSF	1	62,63,64,67,66	-53.392034078613406	0.56808596108087095
homSF	1	62,63,64,67,66	-53.392250382047493	0.56810864694622398
homSF	1	62,63,64,67,66	-53.391955232908629	0.56807769177212575
homSF	1	62,63,64,67,66	-53.392045815901717	0.56808719207055869
homSF	1	62,63,64,67,66	-53.391832929725901	0.56806486466088402
homSF	1	62,63,64,67,66	-53.391461357949929	0.56802589451092111
homSF	1	62,63,64,67,66	-53.391263529923009	0.56800514664150281
homSF	1	62,63,64,67,66	-53.390967005387679	0.56797404758424264
homSF	1	62,63,64,67,66	-53.390689751421618	0.56794496969594743
homSF	1	62,63,64,67,66	-53.390618569516384	0.56793750443488278
