sorted_index	source_event_index	event_time	x	z	s	next_r	next_x
181	1026	8472.714655171198	1.766718709275	1.486305137547	3.121294997704	2.390299809273	-1.546059445582
182	1368	11283.982347288322	1.767186961235	1.486620053178	3.122949755961	2.387831341219	-1.545260929817
183	1958	16139.610767225742	1.771017597901	1.489196892200	3.136503332075	2.367685469545	-1.538728523667
184	1798	14820.366591301103	1.771939535155	1.489817263752	3.139769716247	2.362849564237	-1.537156323943
185	1001	8266.750139569393	1.774763140631	1.491717891664	3.149784205342	2.348069031363	-1.532341029720
186	1986	16370.026590242252	1.777688935375	1.493688086336	3.160177950955	2.332802124756	-1.527351342932
187	2323	19154.992078332551	1.778265800423	1.494076668809	3.162229256955	2.329797791005	-1.526367515052
188	1333	10996.496820092181	1.778330025108	1.494595586547	3.162457678200	2.328677280451	-1.526000419545
189	1942	16007.502930978959	1.778343272163	1.494604508563	3.162504793647	2.328608332438	-1.525977828292
190	1425	11753.753118427356	1.779045719682	1.494602050516	3.165003672718	2.325739042762	-1.525037390611
191	2424	19984.161188780301	1.780299841819	1.495446974646	3.169467526782	2.319219892190	-1.522898516708
192	1625	13401.545235622554	1.780470842151	1.496031078592	3.170076419751	2.317558770539	-1.522353037419
193	1611	13286.866049877222	1.781132343195	1.496474741433	3.172432423976	2.314128510906	-1.521225989426
194	1782	14688.647477894712	1.781314929780	1.496597209221	3.173082879058	2.313182136120	-1.520914901012
195	1306	10773.424263158078	1.781801554921	1.496458937943	3.174816781118	2.311425577916	-1.520337323727
196	1489	12280.466171723767	1.782738732724	1.497552375521	3.178157389155	2.305808816557	-1.518488991253
197	1824	15033.038620525431	1.785964896086	1.499717371941	3.189670610053	2.289144876856	-1.512992028021
198	2297	18941.348849909540	1.786010300189	1.499296304549	3.189832792382	2.289650092289	-1.513158977864
199	1099	9072.752802859759	1.786230688380	1.499444905573	3.190620072112	2.288512679969	-1.512783090852
200	1649	13599.316570571596	1.786246890810	1.499455832230	3.190677954927	2.288429068348	-1.512755455567
201	1050	8667.813625553938	1.786569645286	1.500123340321	3.191831097457	2.286027807690	-1.511961576129
202	1661	13698.310814905557	1.789140058778	1.501407377030	3.201022149923	2.273523232879	-1.507820689896
203	1905	15704.034392683838	1.790093808840	1.502050866582	3.204435844447	2.268620041445	-1.506193892381
204	1198	9884.716459061621	1.790447840520	1.502727742133	3.205703469623	2.266088086072	-1.505353143310
205	2163	17829.642095635179	1.791156468587	1.503203839622	3.208241494960	2.262453917880	-1.504145577356
206	1745	14385.555903238941	1.793038620870	1.504468512763	3.214987495930	2.252815567609	-1.500938229112
207	1435	11836.199451124763	1.796305068477	1.506243926222	3.226711899036	2.236816119078	-1.495598916514
208	1445	11918.346882799789	1.797870886392	1.507301542184	3.232339724136	2.228833721733	-1.492927902389
209	2067	17036.855858858686	1.798781301787	1.507916617396	3.235614171659	2.224198964996	-1.491374857303
210	1380	11382.218726980067	1.799580731708	1.508456738953	3.238490809933	2.220133229319	-1.490011150736
211	1389	11455.937268109596	1.800494226171	1.509074047949	3.241779458474	2.215491838810	-1.488452833922
212	1559	12858.083089154808	1.802438520167	1.510388145436	3.248784618982	2.205629229843	-1.485136098088
213	2346	19343.270853926540	1.803861125631	1.511748318763	3.253914960561	2.197788656998	-1.482494066429
