time_since_ttr1e6_seconds	lambda1_bits_per_second	lz76_bits_per_second	n_symbols	alphabet_size	lz76_phrase_count	mean_event_interval_seconds
5270	0.312456923132	0.345542516815	554	24	200	9.52172154402
5280	0.312858461738	0.345203465197	555	24	200	9.51661650664
5290	0.313622929185	0.344674040565	556	24	200	9.51680209249
5300	0.312676137395	0.343852150224	557	24	200	9.52513005761
5310	0.313291945993	0.345053669611	558	24	201	9.5250279546
5320	0.312850567034	0.344679815247	559	24	201	9.52099607538
5330	0.313339031017	0.343771953556	561	24	201	9.51747739998
5340	0.312990864021	0.343771953556	561	24	201	9.51747739998
5350	0.313025581757	0.344762376266	562	24	202	9.52305879196
5360	0.312583855382	0.344002840086	564	24	202	9.51557671043
5370	0.312239960143	0.343590484174	565	24	202	9.51279410387
5380	0.312521852476	0.343259083279	566	24	202	9.50780748418
5390	0.313284280996	0.344444620343	567	24	203	9.50784255763
5400	0.312193645062	0.34362759413	568	24	203	9.51631396459
5410	0.312113905556	0.343201015868	569	24	203	9.51403478273
5420	0.312126781364	0.344480365879	570	24	204	9.51131484554
5430	0.312347866049	0.343676229818	572	24	204	9.50547921718
5440	0.312669706513	0.345033506455	573	24	205	9.50050747535
5450	0.311908086166	0.344210476403	574	24	205	9.50924294765
5460	0.312461024037	0.343833142243	575	24	205	9.50572664218
5470	0.312428417057	0.344875182626	576	24	206	9.50930062216
5480	0.312973303184	0.346119971881	577	24	207	9.50718972323
5490	0.312425480483	0.346119971881	577	24	207	9.50718972323
5500	0.312253167741	0.344903979915	579	24	207	9.51292694312
5510	0.312627133907	0.344400658843	580	24	207	9.5129838322
5520	0.31338719714	0.345621700858	581	24	208	9.51134948786
5530	0.314078492901	0.345245119686	582	24	208	9.50793203346
5540	0.313466965206	0.3461822755	584	24	209	9.50026743935
5550	0.31353500225	0.345762361348	585	24	209	9.49809599497
5560	0.313455103159	0.345398816262	586	24	209	9.49441202151
5570	0.313724470854	0.3463429159	588	24	210	9.48654387077
5580	0.313357829019	0.34597656386	589	24	210	9.48299216441
5590	0.313222719919	0.345533970699	590	24	210	9.48156640577
5600	0.312266462949	0.344765466288	591	24	210	9.48914044741
5610	0.313193830134	0.344199304597	592	24	210	9.49120715736
5620	0.311885373959	0.345434601229	593	24	211	9.48878458608
5630	0.313033137736	0.344854336827	594	24	211	9.49125337911
5640	0.313482795686	0.346032043113	595	24	212	9.49030545041
5650	0.312900048973	0.345683608374	596	24	212	9.48642479661
5660	0.313731236989	0.345255608305	597	24	212	9.48476251993
5670	0.313991704574	0.346411511932	598	24	213	9.48430423086
5680	0.314512125991	0.345842157552	599	24	213	9.48653693833
5690	0.314640876363	0.34666310122	601	24	214	9.48180108757
5700	0.315079552987	0.347923174784	602	24	215	9.47830312015
5710	0.315145862076	0.347533461939	603	24	215	9.47565222244
5720	0.314961143911	0.347169984693	604	24	215	9.47231944945
5730	0.316203258272	0.34674589062	605	24	215	9.47067483619
5740	0.314282176542	0.347587930364	606	24	216	9.47845531899
5750	0.314146821309	0.34710634174	607	24	216	9.47840781028
5760	0.313752397043	0.346327418636	608	24	216	9.4865371773
5770	0.31388652367	0.347527966554	609	24	217	9.48436863079
5780	0.313919690257	0.347527966554	609	24	217	9.48436863079
5790	0.314171941484	0.346731042847	610	24	217	9.49301204266
5800	0.314727514404	0.346151066239	611	24	217	9.49577933097
5810	0.313755316043	0.346972426644	612	24	218	9.50382798308
5820	0.314187980032	0.346562739608	613	24	218	9.50195778376
5830	0.313493638162	0.345796226346	614	24	218	9.50992510881
5840	0.31358149081	0.346981129501	615	24	219	9.5078525408
5850	0.313667431005	0.346632373503	616	24	219	9.50437232317
5860	0.313637473004	0.346250182688	617	24	219	9.50184096425
5870	0.313908024252	0.347052807505	619	24	220	9.49716513089
5880	0.314182026705	0.347052807505	619	24	220	9.49716513089
5890	0.312989249374	0.346301319262	620	24	220	9.50480934289
5900	0.313176998455	0.345919575669	621	24	220	9.50235710568
5910	0.313382005087	0.346647767024	623	24	221	9.49966529638
5920	0.313280868148	0.346647767024	623	24	221	9.49966529638
5930	0.312489568919	0.345891760041	624	24	221	9.50754060207
5940	0.313515981686	0.345464458866	625	24	221	9.50643405747
5950	0.312813780647	0.344811768362	626	24	221	9.51157541643
5960	0.313080321077	0.346026883423	627	24	222	9.50823322638
5970	0.313016756081	0.345577465036	628	24	222	9.50779020007
5980	0.313981422465	0.344985721932	629	24	222	9.51130535268
5990	0.314119552635	0.345749051007	631	24	223	9.50752157897
6000	0.314718946944	0.345749051007	631	24	223	9.50752157897
6010	0.314221991078	0.346458409543	633	24	224	9.50515335397
