time	time_seconds	lambda1_nats_per_second	full_sscs_lz76_nats_per_second	full_sscs_lz76_bits_per_second	n_symbols_total	n_symbols_discarded	n_symbols_used	alphabet_size	lz76_phrase_count	mean_event_interval_seconds
2610000	2610	0.237127308808	0.247288712288	0.356762198885	276	106	170	19	77	9.40687734864
2620000	2620	0.237445610375	0.246546039984	0.355690749236	277	106	171	19	77	9.39074913135
2630000	2630	0.236619044819	0.244634873127	0.352933518289	278	106	172	19	77	9.41975920164
2640000	2640	0.236791125306	0.247149046208	0.356560703324	279	106	173	19	78	9.40100487977
2650000	2650	0.236413225026	0.246283492055	0.355311972641	280	106	174	19	78	9.39031659173
2660000	2660	0.236800297613	0.245296949535	0.353888692639	281	106	175	19	78	9.38462094862
2670000	2670	0.235034815739	0.246562040602	0.355713833248	282	106	176	19	79	9.41281245931
2680000	2680	0.234656268717	0.245659293983	0.354411445178	283	106	177	19	79	9.40432125619
2690000	2690	0.234881390823	0.24688239797	0.356176011235	285	106	179	19	80	9.39064403438
2700000	2700	0.23513483618	0.24688239797	0.356176011235	285	106	179	19	80	9.39064403438
2710000	2710	0.233268326147	0.245075443267	0.353569126644	286	106	180	19	80	9.41742996302
2720000	2720	0.233628689866	0.243989825258	0.352002910927	287	106	181	19	80	9.4171068135
2730000	2730	0.233172646403	0.242258404117	0.349504998234	288	106	182	19	80	9.44229561481
2740000	2740	0.233463815882	0.244604017834	0.352889003511	289	106	183	19	81	9.42682035088
2750000	2750	0.233729005234	0.243399594187	0.351151387489	290	106	184	19	81	9.43183747984
2760000	2760	0.233321249417	0.244952460071	0.353391699398	292	106	186	19	82	9.40518744627
2770000	2770	0.234508310639	0.244952460071	0.353391699398	292	106	186	19	82	9.40518744627
2780000	2780	0.23552747691	0.243239401764	0.350920278674	293	106	187	20	82	9.43044218484
2790000	2790	0.234926123795	0.245198911411	0.353747253525	294	106	188	20	83	9.4284000139
2800000	2800	0.235262241135	0.246480624052	0.355596373995	295	106	189	20	84	9.45171795548
2810000	2810	0.235671497316	0.245059901474	0.353546704577	296	106	190	21	84	9.46599971788
2820000	2820	0.23616191528	0.247300174674	0.356778735613	297	106	191	21	85	9.45166808974
2830000	2830	0.235858707414	0.245772985993	0.354575468076	299	106	193	21	85	9.43051206276
2840000	2840	0.235553778592	0.244889964226	0.353301536953	300	106	194	21	85	9.4249766028
2850000	2850	0.234261036477	0.244889964226	0.353301536953	300	106	194	21	85	9.4249766028
2860000	2860	0.233453358977	0.245224480028	0.353784141241	302	106	196	21	86	9.4440304339
2870000	2870	0.23347504167	0.244639472557	0.352940153863	303	106	197	21	86	9.42764132571
