time	time_seconds	lambda1_bits_per_second	lz76_measurement_window_bits_per_second	n_symbols	lz76_phrase_count	alphabet_size	lz76_elapsed_seconds	lz76_mean_event_interval_seconds
8180000	8180	0.314315871973	0.350820831968	866	294	25	8177.72881113	9.44310486274
8190000	8190	0.314556904649	0.350537191308	867	294	25	8185.74233211	9.44145597706
8200000	8200	0.314615257715	0.35020873306	868	294	25	8194.8158096	9.44103203871
8210000	8210	0.314704723825	0.351175979791	869	295	25	8201.43692609	9.43778702657
8220000	8220	0.314818829869	0.350624032668	870	295	25	8215.74350551	9.44338333967
8230000	8230	0.314744646315	0.350343111966	871	295	25	8223.7267685	9.44170696728
8240000	8240	0.314644167704	0.351209221926	872	296	25	8232.64988395	9.44111225224
8250000	8250	0.314840344241	0.350922450561	873	296	25	8240.77227629	9.43960169105
8260000	8260	0.314608838251	0.350378051365	874	296	25	8254.9716562	9.44504766156
8270000	8270	0.315041173355	0.351317311486	875	297	25	8262.11020492	9.44241166277
8280000	8280	0.314953731758	0.350677480151	877	297	25	8279.97454922	9.44124806068
8290000	8290	0.315073068396	0.351621359468	878	298	25	8286.94533521	9.43843432256
8300000	8300	0.314931092464	0.3513401996	879	298	25	8294.96986439	9.43682578429
8310000	8310	0.315834348013	0.351117676819	880	298	25	8301.61904989	9.43365801124
8320000	8320	0.315173490674	0.350550854664	881	298	25	8316.43519754	9.4397675341
8330000	8330	0.31478477381	0.350550854664	881	298	25	8316.43519754	9.4397675341
8340000	8340	0.315115876827	0.350856345479	883	299	25	8339.86517951	9.4449209281
8350000	8350	0.314988569743	0.350856345479	883	299	25	8339.86517951	9.4449209281
8360000	8360	0.314717573903	0.350381179193	884	299	25	8352.56868534	9.44860711011
8370000	8370	0.315006714425	0.351265215212	885	300	25	8360.80535819	9.44723769287
8380000	8380	0.314478619984	0.350744013612	886	300	25	8374.6229517	9.45217037438
8390000	8390	0.314350805179	0.350242195911	888	300	25	8389.40822724	9.44753178743
8400000	8400	0.314278497545	0.350005038599	889	300	25	8396.48450324	9.44486445809
8410000	8410	0.314080727612	0.350885584291	890	301	25	8404.72293908	9.44350892031
8420000	8420	0.314183051963	0.350636056153	891	301	25	8412.09486679	9.44118391334
8430000	8430	0.314277268526	0.351299801017	893	302	25	8426.87622849	9.43659152127
8440000	8440	0.314210535531	0.351029286426	894	302	25	8434.75938588	9.43485389919
8450000	8450	0.31404876563	0.350771682697	895	302	25	8442.34239953	9.43278480394
8460000	8460	0.314623123138	0.350481261814	896	302	25	8450.72621324	9.43161407728
8470000	8470	0.313444873224	0.34994471194	897	302	25	8465.07199495	9.43709252503
8480000	8480	0.313419836952	0.349453085926	899	302	25	8479.75784336	9.43243364111
8490000	8490	0.313360577342	0.350290419002	900	303	25	8488.88676262	9.43209640291
