delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.401804	-31.515030	27258035	146406929623534454	-1,0,0,-1,0,0	11,0,0,-11,0	ok
-1.401804	-31.488978	250174895	32491321492521689	-1,0,0,1,0,0	11,0,0,10	ok
-1.401804	-31.462926	5581480901620820	71452879065129788	-1,0,0,1,0,1	11,0,0,10,0	ok
-1.401804	-31.436874	5903631422345963863554166769536926017791645456136862661125403220	6417187601538329	-1,0,0,1,0,-10	11,0,0,9	ok
-1.401804	-31.410822	2653594019510	2812548862712204	-1,0,0,1,1,0	11,0,0,8,0	ok
-1.401804	-31.384770	28998203885297960	15232586392079	-1,0,0,1,2,0	11,0,0,-6,0	ok
-1.401804	-31.358717	138926352838360260699706602645410	240316152704	-1,0,0,1,9,0	11,0,0,4,0	ok
-1.401804	-31.332665	9181171701014	7660310954	-1,0,0,-2,1,0	11,0,0,3,0	ok
-1.401804	-31.306613	1930099514	5067314	-1,0,0,-2,0,0	11,0,0,2	ok
-1.401804	-31.280561	157890408806109682331285908721407091067694286792316448539464	1421697805	-1,0,0,2,0,8	-11,0,0,2,-1	ok
-1.401804	-31.254509	1263942400877119614705089	9247129	-1,0,0,2,5	-11,0,0,-2,0	ok
-1.401804	-31.228457	69175446989	9247129	-1,0,0,-3,0,0	-11,0,0,-2,0	ok
-1.401804	-31.202405	3817997919860968412593522406583710	612762848410946690237034071059770	-1,0,0,3,10,0	-11,0,0,1,10	ok
-1.401804	-31.176353	950912623629783452785267620732839	4373850625714960899794164609257	-1,0,0,4,10	-11,0,0,1,-9	ok
-1.401804	-31.150301	43667370517328420	960623088493395855	-1,0,0,6,1,0	-11,0,0,1,3	ok
-1.401804	-31.124248	37768673450932603214	111213899339070	-1,0,0,8,0,1	-11,0,0,1,2	ok
-1.401804	-31.098196	1979021791805680457466877589	610361676795	-1,0,0,9,0,2	-11,0,0,1,-2	ok
-1.401804	-31.072144	1928012936704814788839746820874139	610361676795	-1,0,0,9,10	-11,0,0,1,-2	ok
-1.401804	-31.046092	155792269438026989	111213899339070	-1,0,0,-10,0,0	-11,0,0,1,2	ok
-1.401804	-31.020040	71452871126525660	960623088493395855	-1,0,0,10,0	-11,0,0,1,3	ok
-1.401804	-30.993988	608533813798651139	703317284175418938127878934665	-1,0,0,10,1	-11,0,0,1,8	ok
-1.401804	-30.967936	3209002350941610431489452514	612762848410946690237034071059770	-1,0,0,10,6	-11,0,0,1,10	ok
-1.401804	-30.941884	73916402125625402	9247129	-1,0,-1,10,0	-11,0,0,-2,0	ok
-1.401804	-30.915832	13043475450372092334746075402	111012429	-1,0,-1,1,7	-11,0,0,2,0	ok
-1.401804	-30.889780	329076683	117335981619218505	1,0,3,-1,0,0	-11,0,0,-3,-3	ok
-1.401804	-30.863727	614042519769346551283585588302404	46632594900	1,0,3,1,10	-11,0,0,-4,0	ok
-1.401804	-30.837675	2624050696499	423096610724679	1,0,3,4,-1	-11,0,0,7,0	ok
-1.401804	-30.811623	187053459536669804	6417187488249429	1,0,3,-10,0,0	-11,0,0,9	ok
-1.401804	-30.785571	234638873239	71452878687101010	1,0,-4,-3,0,0	-11,0,0,10,0	ok
-1.401804	-30.759519	1680859	32491321237604757	1,0,-4,0,0	-11,0,0,10	ok
-1.401804	-30.733467	2042338730209	37794214690	1,0,-4,0,-1,-1	-11,0,-1,0,-2	ok
-1.401804	-30.707415	529340727346989736569951060408643	10132	1,0,4,0,10	-11,0,-1,0,0	ok
-1.401804	-30.681363	614469596215990515228807690341143	3574424161203088450780548248632	1,0,4,1,10	-11,0,1,0,-9	ok
-1.401804	-30.655311	21204276130878394	2110583634529640761963132	1,0,4,9,0	-11,0,1,3,5	ok
-1.401804	-30.629259	18770790644	69730	1,0,-5,-2,0,0	-11,0,-2,0,0	ok
-1.401804	-30.603206	6088303	390265	1,0,-5,0,0	-11,0,-3,0,0	ok
-1.401804	-30.577154	529715788858647449932191278745793	296035257	1,0,5,0,10	-11,0,6,1,0	ok
-1.401804	-30.551102	1107193743332708645559612391183	14078766089626932	1,0,5,3,8	-11,0,9,9	ok
-1.401804	-30.525050	5498265522497481624620573	1529072629	1,0,5,10,-5	-11,0,10,-1,0	ok
-1.401804	-30.498998	18656884	108449607	1,0,-6,0,0	-11,-1,1,0,1	ok
-1.401804	-30.472946	2280251744	108567455204767361210066178589929	1,0,6,-1,0,0	-11,-1,0,0,-10	ok
-1.401804	-30.446894	24797636871450664	150392001054354	1,0,6,9,0	-11,1,0,-7,0	ok
-1.401804	-30.420842	566173324201429051052139675643	40570520806080090	1,0,-7,0,8	-11,1,3,10	ok
-1.401804	-30.394790	11401426328316043	527842828796047096000160267965204	1,0,7,0,2,0	-11,-2,0,0,10	ok
-1.401804	-30.368737	615752385434297534876841223769953	162270463792669	1,0,7,1,10	-11,3,0,6,-1	ok
-1.401804	-30.342685	3347689406446464815194	6441093163289319	1,0,7,-10,3	-11,7,0,9	ok
-1.401804	-30.316633	530654460146656643374410546129733	545428768218757	1,0,-8,0,10	-11,9,10,7	ok
-1.401804	-30.290581	28252665484	36453764842210575	1,0,-8,0,-1,0	-11,10,-2,10	ok
-1.401804	-30.264529	530842368957923710863786317362114	50485532919993161	1,0,8,0,10	10,10,6,10	ok
-1.401804	-30.238477	41302411074838	3632596158514733	1,0,8,-2,1,0	10,10,3,-9	ok
-1.401804	-30.212425	419557144616713	407250868733	1,0,8,7	10,10,2,-5	ok
-1.401804	-30.186373	59991063638650064	3651733	1,0,8,-10,0	10,10,-2,0,-1	ok
-1.401804	-30.160321	251424859288846849	7066285629640766	1,0,-9,10,-1	10,10,1,9	ok
-1.401804	-30.134269	864804902274772220389	637865	1,0,-9,0,4	10,10,1,1	ok
-1.401804	-30.108216	42700209259	95246	1,0,-9,0,-1,0	10,10,1,0	ok
-1.401804	-30.082164	4768592607393761224	1275983	1,0,-9,0,1,1	10,10,-1,0,-1	ok
-1.401804	-30.056112	873944601691699176013	4065506	1,0,9,0,4	10,10,-1,1,0	ok
-1.401804	-30.030060	531218361257765562967380807393088	32606586852898031	1,0,9,0,10	10,10,0,10	ok
-1.401804	-30.004008	581310992123	14799220839013256	1,0,9,-1,0,-1	10,10,0,-10	ok
-1.401804	-29.977956	134511618473	1067223672903140	1,0,9,1,1	10,10,0,8	ok
-1.401804	-29.951904	6608303164	51585522983	1,0,9,-2,0	10,10,0,-4,0	ok
-1.401804	-29.925852	714751268635860224841916315584974	1781298808	1,0,9,2,10	10,-10,0,2,-1	ok
-1.401804	-29.899800	9943991552213	200008	1,0,9,4,-1	10,-10,0,1	ok
-1.401804	-29.873747	1247252436482669	3152457886	1,0,9,7,0	10,-10,0,1,1	ok
-1.401804	-29.847695	1032623131324682213	2305858	1,0,9,-9,-2	10,-10,0,1,0	ok
-1.401804	-29.821643	2392132397260983410188	3152457886	1,0,9,9,3	10,-10,0,1,1	ok
-1.401804	-29.795591	14078762901387944	19334851	1,0,9,9	10,-10,0,-2,0	ok
-1.401804	-29.769539	64286514147025889	141309962684536	1,0,9,-10,0	10,-10,0,7	ok
-1.401804	-29.743487	64286514147025889	427104015125683	1,0,9,-10,0	10,-10,-1,-8	ok
-1.401804	-29.717435	64286514147025889	140695	1,0,9,-10,0	10,-10,-2,0	ok
-1.401804	-29.691383	128817507219203213	516280891	1,0,9,10,0	10,-10,10,0	ok
-1.401804	-29.665331	128817507219203213	1386195511	1,0,9,10,0	10,9,10,1	ok
-1.401804	-29.639279	258822292139910503	508215001	1,0,9,10,-1	10,9,10,0	ok
-1.401804	-29.613226	959310100509079778	359106580	1,0,9,10,1	10,9,-10,0	ok
-1.401804	-29.587174	5706444311817780158	516313025	1,0,9,10,-2	10,9,-10,-1	ok
-1.401804	-29.561122	66533522275961459	168168610	1,0,-10,-10,0	10,9,9	ok
