delta_x	delta_ca	fast_success	gold_success	fast_mode	gold_mode	fast_s_pre	fast_s_img	fast_return_solves	fast_elapsed	gold_s_pre	gold_s_img	gold_return_solves	gold_elapsed	gamma_scs	fast_T_scs	gold_T_scs	match
-1.38	-38.93666666666667	true	true	fallback_local	fallback_global	0.19848732988622425	0.004095677635829167	13	0.164231292	0.19934337608961153	0.0011544277169792721	124	6.85378125	14,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-1.44	-38.93666666666667	true	true	fallback_local	fallback_global	0.22610740021155887	0.007130840156536915	13	0.137690708	0.22822816084016517	0.0003340667262243562	124	46.152958875	14,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-1.5	-38.93666666666667	true	true	fallback_local	fallback_global	0.2571394936841752	0.009644190278511756	13	0.165708125	0.2600415202584735	0.0009170710103928512	124	6.241984	14,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-0.96	-38.10111111111111	true	true	fallback_global	fallback_global	0.06083805142749534	0.04924372760626362	124	61.931411875	0.06083805142749534	0.04924372760626362	124	61.931411875	-13,-3,12,-5	-1,12,12,12	-1,12,12,12	true
-1.02	-38.10111111111111	true	true	fallback_global	fallback_global	0.0734026837581025	0.03986354943054057	124	44.474525583	0.0734026837581025	0.03986354943054057	124	44.474525583	-13,0,-13,12	0,12,-1,4	0,12,-1,4	true
-1.08	-38.10111111111111	true	true	fallback_local	fallback_global	0.08744726691760167	0.03075238964557769	13	0.148898959	0.08779485761954804	0.03064517901101085	124	8.876833583	-13,0,-1,0,2	0,-1,0,7,-3	0,-1,0,-11,0	false
-1.14	-38.10111111111111	true	true	fallback_local	fallback_global	0.10380413470359612	0.021658693707474735	13	0.045053959	0.10405336826352002	0.021611971941358596	124	9.021932917	13,0,2,0,1	0,0,-1,0,1,-3	0,0,-1,0,1	false
-1.2	-38.10111111111111	true	true	fallback_local	fallback_global	0.12174470968648525	0.013200827846747965	13	0.161581791	0.12230832271214316	0.012787750116501484	124	60.332001875	13,0,-12,0	0,0,0,0,0,-1,-4	0,0,0,0,0,0,0	false
-1.26	-38.10111111111111	true	true	fallback_local	fallback_global	0.14236279694537404	0.004743971889073385	13	0.170338834	0.1431302393358759	0.00453328961809139	124	55.055088917	13,-1,-1,12	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	false
-1.32	-38.10111111111111	true	true	fallback_local	fallback_global	0.1647364524449899	0.0017175093642331429	13	0.176109916	0.16488632126297256	0.0011114165136471331	124	30.323116542	13,-1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-1.38	-38.10111111111111	true	true	fallback_local	fallback_global	0.18978602449554624	0.0003319565765975906	13	0.094142584	0.18978161996766138	0.0003486833188951472	124	7.232742542	13,1,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-1.44	-38.10111111111111	true	true	fallback_local	fallback_global	0.2174403878639349	0.0005582072683326225	13	0.05980225	0.21936212865344906	0.015959182237137957	124	45.986788708	-14,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-1.5	-38.10111111111111	true	true	fallback_local	fallback_global	0.24815018727968827	0.0015978356962434164	13	0.031599541	0.2485207410728442	0.0003601704182417276	124	6.214104041	-14,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-0.96	-37.26555555555556	true	true	fallback_global	fallback_global	0.05568218904977818	0.058737218775987164	124	61.898454208	0.05568218904977818	0.058737218775987164	124	61.898454208	12,12,-12,1	-1,-2,-6,-12,1	-1,-2,-6,-12,1	true
-1.02	-37.26555555555556	true	true	fallback_global	fallback_global	0.06759680615493377	0.049488942276840156	124	44.258971666	0.06759680615493377	0.049488942276840156	124	44.258971666	12,12,12	0,12,12,2	0,12,12,2	true
-1.08	-37.26555555555556	true	true	fallback_local	fallback_global	0.08098811363435206	0.04044403377975962	13	0.117307375	0.08121470194105843	0.04039160434502265	124	8.383974125	-13,11,12	0,3,-1,2,12	0,3,0,12	false
-1.14	-37.26555555555556	true	true	fallback_local	fallback_global	0.09651217676889672	0.03149755191249968	13	0.248317166	0.09667847933179595	0.031472199929247276	124	8.484305125	-13,-1,-3,0,11	0,0,12,-1,0	0,0,12,-1,0	true
-1.2	-37.26555555555556	true	true	fallback_local	fallback_global	0.1138099445851426	0.02286190205107311	13	0.230702834	0.11413259474575352	0.022757359832464127	124	60.051680166	-13,0,0,-1,0	0,0,0,-2,12	0,0,0,1,12	false
-1.26	-37.26555555555556	true	true	fallback_local	fallback_global	0.13345862614455292	0.014385342373418803	13	0.308853667	0.13377589033840115	0.01427340803093266	124	53.182966208	-13,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	true
-1.32	-37.26555555555556	true	true	fallback_local	fallback_global	0.15531510820883493	0.006428969522259555	13	0.084144375	0.15574912620005496	0.006046222737095063	124	31.157151958	13,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	false
-1.38	-37.26555555555556	true	true	fallback_local	fallback_global	0.17982279567418882	0.0008632407856252785	13	0.225742292	0.18	0.00014172864556662935	124	6.844836833	13,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-1.44	-37.26555555555556	true	true	fallback_local	fallback_global	0.20697640853013616	0.008075927423504698	13	0.121894625	0.20775203976426324	0.00787991805030641	124	46.383495917	13,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-1.5	-37.26555555555556	true	true	fallback_local	fallback_global	0.2341300213860835	0.009459123292800284	13	0.036028875	0.236	0.0023280496237771003	124	6.528603917	13,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-0.96	-36.43	true	true	fallback_global	fallback_global	0.05086557885758661	0.06770245729468988	124	61.528601167	0.05086557885758661	0.06770245729468988	124	61.528601167	12,11,-12,2	-2,-2,-2,-2,-2	-2,-2,-2,-2,-2	true
