delta_x	delta_ca	gamma_encoding	gamma_scs	status
-1.257515	-38.236473	5434	13,-1,0,0,0	ok
-1.255511	-38.236473	5434	13,-1,0,0,0	ok
-1.253507	-38.236473	5434	13,-1,0,0,0	ok
-1.251503	-38.236473	5434	13,-1,0,0,0	ok
-1.249499	-38.236473	5434	13,-1,0,0,0	ok
-1.247495	-38.236473	5434	13,-1,0,0,0	ok
-1.245491	-38.236473	5434	13,-1,0,0,0	ok
-1.243487	-38.236473	5434	13,-1,0,0,0	ok
-1.241483	-38.236473	5434	13,-1,0,0,0	ok
-1.239479	-38.236473	5434	13,-1,0,0,0	ok
-1.237475	-38.236473	5434	13,-1,0,0,0	ok
-1.235471	-38.236473	5434	13,-1,0,0,0	ok
-1.233467	-38.236473	5434	13,-1,0,0,0	ok
-1.231463	-38.236473	5434	13,-1,0,0,0	ok
-1.229459	-38.236473	5434	13,-1,0,0,0	ok
-1.227455	-38.236473	5434	13,-1,0,0,0	ok
-1.225451	-38.236473	120760	13,-1,0,0,-1	ok
-1.223447	-38.236473	533550085	13,-1,0,0,-1,0	ok
-1.221443	-38.236473	533550085	13,-1,0,0,-1,0	ok
-1.219439	-38.236473	46248127	13,-1,0,0,1	ok
-1.217435	-38.236473	46248127	13,-1,0,0,1	ok
-1.215431	-38.236473	12503647766059	13,-1,0,0,2	ok
-1.213427	-38.236473	9725510832940009218662662309	13,-1,0,0,7	ok
-1.211423	-38.236473	28852106663349939427	13,-1,0,-1,-4	ok
-1.209419	-38.236473	3000802891627	13,-1,0,-1,-1,-1	ok
-1.207415	-38.236473	28346659	13,-1,0,-1,0,0	ok
-1.205411	-38.236473	28346659	13,-1,0,-1,0,0	ok
-1.203407	-38.236473	666409	13,-1,0,1,0	ok
-1.201403	-38.236473	16846084	13,-1,0,1,-1	ok
-1.199399	-38.236473	16084	13,-1,0,1	ok
-1.197395	-38.236473	9668977	13,-1,0,-2,0	ok
-1.195391	-38.236473	1047881284	13,-1,0,-3,0	ok
-1.193387	-38.236473	186919130667727	13,-1,0,5,1	ok
-1.191383	-38.236473	547877237138122960	13,-1,0,12	ok
-1.189379	-38.236473	1085618906534062252	13,-1,-1,12,0	ok
-1.187375	-38.236473	3449024959	13,-1,-1,1,1	ok
-1.185371	-38.236473	525252640	13,-1,-1,-1,1	ok
-1.183367	-38.236473	71538715	13,-1,-1,0,1	ok
-1.181363	-38.236473	13177	13,-1,-1,0,0	ok
-1.179359	-38.236473	13177	13,-1,-1,0,0	ok
-1.177355	-38.236473	33127	13,-1,1,0,0	ok
-1.175351	-38.236473	108523252	13,-1,1,0,1	ok
-1.173347	-38.236473	239752	13,-1,1,-1,0	ok
-1.171343	-38.236473	2567398627	13,-1,1,2,-1	ok
-1.169339	-38.236473	99909640540	13,-1,-2,3,-1	ok
-1.167335	-38.236473	81784	13,-1,-2,0,0	ok
-1.165331	-38.236473	1062127	13,-1,2,-1,0	ok
-1.163327	-38.236473	4137100	13,-1,-3,0,-1	ok
-1.161323	-38.236473	1838377	13,-1,-4,0,0	ok
-1.159319	-38.236473	210781386893222470	13,-1,-7,11	ok
-1.157315	-38.236473	12159335720080	13,-1,11,5	ok
-1.155311	-38.236473	62095170595	13,-1,12,-3	ok
-1.153307	-38.236473	1998162910	13,-1,-13,0	ok
-1.151303	-38.236473	1975846927	13,0,-13,0	ok
-1.149299	-38.236473	1975846927	13,0,-13,0	ok
-1.147295	-38.236473	1975846927	13,0,-13,0	ok
-1.145291	-38.236473	1975846927	13,0,-13,0	ok
-1.143287	-38.236473	2677692764	13,0,-13,-1	ok
-1.141283	-38.236473	4752003790	13,0,-13,1	ok
-1.139279	-38.236473	220551264064	13,0,-13,3	ok
-1.137275	-38.236473	1047927064	13,0,12	ok
-1.135271	-38.236473	1047927064	13,0,12	ok
-1.133267	-38.236473	1047927064	13,0,12	ok
-1.131263	-38.236473	61800205070	13,0,12,-3	ok
-1.129259	-38.236473	3621473039	13,0,12,1	ok
-1.127255	-38.236473	1998226127	13,0,12,-1	ok
-1.125251	-38.236473	1457109110	13,0,12,0	ok
-1.123246	-38.236473	1061844460	13,0,-12,0	ok
-1.121242	-38.236473	1061844460	13,0,-12,0	ok
-1.119238	-38.236473	533582752	13,0,11	ok
-1.117234	-38.236473	1075900052	13,0,11,-1	ok
-1.115230	-38.236473	541978400	13,0,-11,0	ok
-1.113226	-38.236473	378743977	13,0,10,0	ok
-1.111222	-38.236473	175753100	13,0,9,0	ok
-1.109218	-38.236473	121734580	13,0,-8,0,0	ok
-1.107214	-38.236473	4023358930	13,0,-7,0,1	ok
-1.105210	-38.236473	18803752	13,0,-6,0,0	ok
-1.103206	-38.236473	19490620	13,0,5,1	ok
-1.101202	-38.236473	139119514	13,0,-5,-1,-1	ok
-1.099198	-38.236473	214938985	13,0,4,2	ok
-1.097194	-38.236473	1725127	13,0,-4,0,0	ok
-1.095190	-38.236473	3525814	13,0,-4,1	ok
-1.093186	-38.236473	640711545502080575	13,0,3,12	ok
-1.091182	-38.236473	1840295	13,0,3,1	ok
-1.089178	-38.236473	98230183915	13,0,3,0,-2	ok
-1.087174	-38.236473	3926977	13,0,-3,0,-1	ok
-1.085170	-38.236473	1961164	13,0,-3,-1,0	ok
-1.083166	-38.236473	624335185641917977	13,0,-3,12	ok
