delta_x	delta_ca	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-1.078947	-21.368421	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.078947	-20.684211	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.078947	-20.000000	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.026316	-33.000000	31	137503074817916327	93	137520069382767449	-1,10,-11,-11	11,-11,-11,-11	ok
-1.026316	-32.315789	28	69041300686785800	87	69041308118679450	-1,10,-11,10	-11,10,-11,10	ok
-1.026316	-31.631579	30	133256391358893179	91	137503085306122257	-1,10,10,-11	-11,10,-11,-11	ok
-1.026316	-30.947368	27	66720918967500902	85	66720925908142496	-1,10,10,10	10,10,10,10	ok
-1.026316	-30.263158	27	66720918967500902	85	66720925908142496	-1,10,10,10	10,10,10,10	ok
-1.026316	-29.578947	92	489473977720914081937327972658195	78	31288144257776695	-1,-10,-10,-10,-10	10,-10,-10,-10	ok
-1.026316	-28.894737	92	489473977720914081937327972658195	77	31288144007624166	-1,-10,-10,-10,-10	-10,-10,-10,-10	ok
-1.026316	-28.210526	92	489473977720914081937327972658195	77	31288144007624166	-1,-10,-10,-10,-10	-10,-10,-10,-10	ok
-1.026316	-27.526316	82	99887480609913080653142721402689	69	14134177230126971	-1,9,9,9,9	-10,9,9,9	ok
-1.026316	-26.842105	82	99887480609913080653142721402689	68	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-1.026316	-26.157895	82	99887480609913080653142721402689	68	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-1.026316	-25.473684	82	99887480609913080653142721402689	68	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-1.026316	-24.789474	74	18771403874319079111379122357950	57	6127218708778185	-1,-9,-9,-9,-9	9,-9,-9,-9	ok
-1.026316	-24.105263	74	18771403874319079111379122357950	56	6127218598078424	-1,-9,-9,-9,-9	-9,-9,-9,-9	ok
-1.026316	-23.421053	74	18771403874319079111379122357950	56	6127218598078424	-1,-9,-9,-9,-9	-9,-9,-9,-9	ok
-1.026316	-22.736842	64	3219630870954874081466514659729	51	2537570117940154	-1,8,8,8,8	-9,8,8,8	ok
-1.026316	-22.052632	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.026316	-21.368421	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.026316	-20.684211	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.026316	-20.000000	64	3219630870954874081466514659729	99	3219630870954912145017215161919	-1,8,8,8,8	8,8,8,8,8	ok
-0.973684	-33.000000	32	137520058369471127	92	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.973684	-32.315789	31	137503074817916327	91	137503085306122257	-1,10,-11,-11	-11,10,-11,-11	ok
-0.973684	-31.631579	27	66720918967500902	86	66720926273439432	-1,10,10,10	-11,10,10,10	ok
-0.973684	-30.947368	27	66720918967500902	85	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.973684	-30.263158	98	2225840977019920444092511290911250	85	66720925908142496	-1,10,10,10,10	10,10,10,10	ok
-0.973684	-29.578947	92	489473977720914081937327972658195	78	31288144257776695	-1,-10,-10,-10,-10	10,-10,-10,-10	ok
-0.973684	-28.894737	92	489473977720914081937327972658195	77	31288144007624166	-1,-10,-10,-10,-10	-10,-10,-10,-10	ok
-0.973684	-28.210526	92	489473977720914081937327972658195	77	31288144007624166	-1,-10,-10,-10,-10	-10,-10,-10,-10	ok
-0.973684	-27.526316	82	99887480609913080653142721402689	68	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-0.973684	-26.842105	82	99887480609913080653142721402689	68	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-0.973684	-26.157895	82	99887480609913080653142721402689	68	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-0.973684	-25.473684	82	99887480609913080653142721402689	68	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-0.973684	-24.789474	74	18771403874319079111379122357950	56	6127218598078424	-1,-9,-9,-9,-9	-9,-9,-9,-9	ok
-0.973684	-24.105263	74	18771403874319079111379122357950	56	6127218598078424	-1,-9,-9,-9,-9	-9,-9,-9,-9	ok
