category_id	count	encoding	T_scs	gamma_scs
5495	1	7057936075223871682921924073397664855332964572359086645874366041	1,0,9,-1,-10	10,3,5,-3
5496	1	7063964634964628967095278918945514123015802182662180791615075063	-1,-1,-10,-1,-10	-11,1,1,9
5497	1	7069997377819199327465877095521632244579225861065528005116766110	-1,0,10,-1,-10	-11,2,8,10
5498	1	7076035272839242595428755349844284477988085485086296802855020387	-1,0,-11,-1,-10	11,7,2,2
5499	1	7181800549710641543127169310174100630971078208497513965832667957	-1,0,1,9,9	-10,0,3,0,9
5500	1	7261380779968572078687596806890573348830663205405862723900686655	-1,0,9,9,9	10,-1,-2,0,9
5501	1	7763649721736591245995855943660257422399272100966406737550986157	-1,0,9,9,9	-10,-1,-1,1,9
5502	1	8113823208369419463329777039698698397049226823871802261147447150	-1,-2,4,-11,9	11,10,11,-5
5503	1	8189699668230730140199022014068875952002922821405593177015556535	-1,0,0,1,1,0	10,1,0,1,-10
5504	1	8196622849147671885779066874340780161926366203255705444138016775	-1,1,10,-11,9	-11,1,-11,-10
5505	1	8196622849147684604327168135027774526378532067567900974471138554	-1,1,10,-11,9	-11,1,10,-11
5506	1	8196623215685941761258178220534593808004141219978305540910112470	-1,-2,10,-11,9	-11,2,-11,8
5507	1	8196629446838832746345498401785313876236678423285898170416458852	-1,-1,-1,1,-10	-11,9,10,-10
5508	1	8196629813377362557337853380694159838120039106742334051797164769	1,1,-1,1,-10	10,-10,-1,0
5509	1	8203565089250015708567255862567527756028318916472813030800740002	-1,-1,-1,1,3	-10,-1,1,1,-10
5510	1	8203565822869665900004062052107599182792832678196993953664920755	1,-2,1,1,-10	10,8,6,-8
5511	1	8210504764940900828593214600894990567856839608373234637952579450	-1,0,3,-3,1,-3	-11,0,2,10
5512	1	8210506600348019283717860696912415717094974403984618700493687376	1,1,-2,1,-10	10,-9,1,-10
5513	1	8210508435755489255072578649644266907592649148029587823331004051	1,-4,-2,1,-10	10,3,-10,2
5514	1	8224405777661901281338167926576431710342553569448966499159900416	1,-2,-3,1,-10	10,-10,1,-10
5515	1	8224406880537380824932727157075377779985601995658126986352320826	1,3,-3,1,-10	10,-9,9,-7
5516	1	8245294251644711773272609671861753548670143348603052897672260231	1,0,4,1,-10	-11,0,0,-9,0
5517	1	8294231312780091181005059997991859867508064874574311019875566353	-1,-2,-8,1,-10	-10,1,9,-10
5518	1	8315285991303121145359607865391531658080094233491183765242207307	-1,0,9,1,-10	10,0,9,9
5519	1	8315285991512102467167355815710777730048128422316302473266088439	-1,0,9,1,-10	10,1,1,1,4
5520	1	8315286362480317098597299187713580705575775050941880092038877796	-1,-1,9,1,-10	10,10,-8,0
5521	1	8315286733657533255569450464753602647965636576302611460132897139	1,1,9,1,-10	10,5,9,9
5522	1	8322316459469105791254058330386317301784792269125914619364668376	-1,1,-10,1,-10	10,10,-10,9
5523	1	8322316459469105962142961995758674303062099331079063064739586611	1,1,-10,1,-10	10,10,-1,0
5524	1	8322316459469105962143480918831878199900999764724441537512616406	1,1,-10,1,-10	10,3,-10,-1,-1
5525	1	8322316459469106786755295971938653253833549045631908432287961561	1,1,-10,1,-10	10,-2,9,-9
5526	1	8322316459469108416436554148264351294763635428792963376000101723	-1,1,-10,1,-10	-11,-7,1,10
5527	1	8322316459469112497695787273735869450731353365451053925252904171	-1,1,-10,1,-10	10,10,10,10
5528	1	8322316459469121047493514162612498487225497103296331693922535060	-1,1,-10,1,-10	-11,2,10,-11
5529	1	8322317202372682671644396133791437506886705355075376828101265434	1,2,-10,1,-10	10,-3,1,9
5530	1	8322317202372685649974362847196855150305610285433405594171252026	1,2,-10,1,-10	10,9,9,-10
5531	1	8322317945276315591742421426841940066567036623693500130819944339	1,3,-10,1,-10	10,9,-10,1
5532	1	8322317945276319187133437227495451657951696708643181223103761859	1,3,-10,1,-10	10,4,8,-10
5533	1	8322317945276319191768378969539136766967696135922372928055634228	1,3,-10,1,-10	10,-8,8,-10
5534	1	8329351013055688064969202822792824551013001669253102410740521126	1,0,10,1,-10	10,8,10,0
5535	1	8329351013055688083207817513207685569708003901020439788959570901	1,0,10,1,-10	10,-10,0,7
5536	1	8329351384782182132777869929485328588202247146767963763991080576	1,-1,10,1,-10	10,9,-10,0
5537	1	8329351756508690717548524756344918850755802076391453736870881851	1,1,10,1,-10	10,8,9,5
5538	1	8329351756508692790185125700878925325883309658637249036161053289	1,1,10,1,-10	10,10,1,-10
5539	1	8336391884894212011914475677693271345818960510878450804457096125	-1,0,-11,1,-10	-11,-1,-1,10
