delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-1.438776	-25.102041	-45.763764	0.808221	continued[3]:5	247	5829716941481510	597	3287287054321860	-1,2,8,-9	9,-9,2,-9	ok
-1.438776	-24.591837	-49.229409	0.792971	continued[2]:5	273	10943979351009705	568	480864396560610	-1,-4,6,9	9,-9,9,7	ok
-1.438776	-24.081633	-48.710844	0.792135	continued[1]:5	246	5323446691871219	565	451054472005738	-1,-7,7,-9	9,8,-9,7	ok
-1.438776	-23.571429	-48.124899	0.792509	continued[1]:5	249	5847190196345960	605	5848782458172103	-1,-8,8,-9	9,8,8,-9	ok
-1.438776	-23.061224	-47.481099	0.794092	continued[1]:5	237	2537568978100002	584	2537570117940154	-1,8,8,8	-9,8,8,8	ok
-1.438776	-22.551020	-46.792377	0.796886	continued[1]:5	237	2537568978100002	584	2537570117940154	-1,8,8,8	-9,8,8,8	ok
-1.438776	-22.040816	-46.060388	0.799679	continued[1]:5	237	2537568978100002	583	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.438776	-21.530612	-45.990190	0.800633	continued[3]:5	237	2537568978100002	583	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.438776	-21.020408	-49.680240	0.784226	continued[2]:5	237	2537568978100002	583	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.438776	-20.510204	-49.141545	0.782770	continued[1]:5	237	2537568978100002	583	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.438776	-20.000000	-48.527848	0.783478	continued[1]:5	221	998766650140877	583	2537570046700137	-1,-8,-8,-8	8,8,8,8	ok
-1.418367	-45.000000										error: T SSCS does not start with ±1: [-2, -1, -1, -1]
-1.418367	-44.489796										error: T SSCS does not start with ±1: [-2, -2, -2, -2]
-1.418367	-43.979592	-45.122166	0.848419	continued[1]:5	12	2344	110	5116	1,-1,-1,-1	-18,-1,-1,-1	ok
-1.418367	-43.469388	-44.821171	0.847505	continued[1]:5	2	89	25	1001	1,0,0,0	17,0,0,0	ok
-1.418367	-42.959184	-44.498073	0.847337	continued[1]:5	2	89	22	957	1,0,0,0	-17,0,0,0	ok
-1.418367	-42.448980	-44.153975	0.847711	continued[1]:5	2	89	19	914	1,0,0,0	16,0,0,0	ok
-1.418367	-41.938776	-44.111621	0.846964	continued[3]:5	2	89	19	914	1,0,0,0	16,0,0,0	ok
-1.418367	-41.428571	-46.268997	0.840195	full	2	89	37	1245	1,0,0,0	15,1,0,0	ok
-1.418367	-40.918367	-45.937791	0.838611	continued[1]:5	2	89	15	831	1,0,0,0	15,0,0,0	ok
-1.418367	-40.408163	-45.577131	0.837775	continued[1]:5	2	89	15	831	1,0,0,0	15,0,0,0	ok
-1.418367	-39.897959	-45.191213	0.837608	continued[1]:5	2	89	36	1196	1,0,0,0	-15,1,0,0	ok
-1.418367	-39.387755	-44.786182	0.838316	continued[1]:5	2	89	12	752	1,0,0,0	14,0,0,0	ok
-1.418367	-38.877551	-44.365004	0.839693	continued[1]:5	2	89	12	752	1,0,0,0	14,0,0,0	ok
-1.418367	-38.367347	-47.306233	0.825248	full	2	89	10	714	1,0,0,0	-14,0,0,0	ok
-1.418367	-37.857143	-46.926701	0.826625	continued[1]:5	2	89	162	19675	1,0,0,0	13,0,2,0	ok
-1.418367	-37.346939	-46.527662	0.827668	continued[1]:5	2	89	8	677	1,0,0,0	13,0,0,0	ok
-1.418367	-36.836735	-46.094836	0.827294	continued[1]:5	2	89	8	677	1,0,0,0	13,0,0,0	ok
-1.418367	-36.326531	-45.635408	0.827795	continued[1]:5	1	77	6	641	-1,0,0,0	-13,0,0,0	ok
-1.418367	-35.816327	-45.156593	0.829172	continued[1]:5	1	77	39	1251	-1,0,0,0	12,-2,0,0	ok
-1.418367	-35.306122	-44.663313	0.831297	continued[1]:5	1	77	29	1057	-1,0,0,0	12,0,-1,0	ok
-1.418367	-34.795918	-46.378251	0.821676	continued[2]:5	1	77	4	606	-1,0,0,0	12,0,0,0	ok
-1.418367	-34.285714	-45.881273	0.822385	continued[1]:5	1	77	4	606	-1,0,0,0	12,0,0,0	ok
-1.418367	-33.775510	-45.362057	0.823968	continued[1]:5	1	77	3	572	-1,0,0,0	-12,0,0,0	ok
-1.418367	-33.265306	-44.829975	0.826634	continued[1]:5	1	77	206	62813	-1,0,0,0	11,10,-1,0	ok
-1.418367	-32.755102	-44.788826	0.826014	continued[3]:5	1	77	418	1047652403	-1,0,0,0	11,1,-1,3	ok
-1.418367	-32.244898	-48.273326	0.813699	full	1	77	393	541846718	-1,0,0,0	11,0,-11,0	ok
-1.418367	-31.734694	-47.834330	0.810905	continued[1]:5	1	77	24	968	-1,0,0,0	11,0,-1,0	ok
-1.418367	-31.224490	-47.343655	0.810404	continued[1]:5	1	77	40	1254	-1,0,0,0	-11,0,0,-1	ok
-1.418367	-30.714286	-46.808056	0.810778	continued[1]:5	6	464	356	71490882	-1,0,0,-1	-11,0,0,-3	ok
