delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_category_id	T_encoding	T_scs	status
-1.193387	-39.989980	-45.091151	0.814031	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.191383	-39.989980	-45.515344	0.811907	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.189379	-39.989980	-45.922824	0.810323	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.187375	-39.989980	-46.309708	0.809281	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.185371	-39.989980	-46.671852	0.808572	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.183367	-39.989980	-47.007248	0.811366	full	523	371299112589839	-1,0,0,0,-1,0,0	ok
-1.181363	-39.989980	-45.117048	0.812619	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.179359	-39.989980	-45.542371	0.810701	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.177355	-39.989980	-45.948195	0.808911	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.175351	-39.989980	-46.335227	0.807868	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.173347	-39.989980	-46.696988	0.807160	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.171343	-39.989980	-47.031540	0.809954	full	1494	3361378696400720345	-1,0,0,0,1,1	ok
-1.169339	-39.989980	-45.140366	0.811202	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.167335	-39.989980	-45.567063	0.809284	continued:5	12	2602619	1,0,0,0,0,0	ok
-1.165331	-39.989980	-45.973623	0.807494	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.163327	-39.989980	-46.360800	0.806451	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.161323	-39.989980	-46.722175	0.805743	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.159319	-39.989980	-47.055880	0.808537	full	2045	2392595503221877813202	-1,0,0,0,-3,0,0	ok
-1.157315	-39.989980	-45.169784	0.809908	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.155311	-39.989980	-45.595891	0.807783	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.153307	-39.989980	-46.003650	0.806200	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.151303	-39.989980	-46.389269	0.805157	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.149299	-39.989980	-46.748748	0.804449	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.147295	-39.989980	-47.080270	0.807115	full	2539	249094818527378736964637390	-1,0,0,-1,4,1	ok
-1.145291	-39.989980	-45.193227	0.808481	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.143287	-39.989980	-45.620712	0.806357	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.141283	-39.989980	-46.029201	0.804773	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.139279	-39.989980	-46.414955	0.803730	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.137275	-39.989980	-46.774039	0.803022	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.135271	-39.989980	-47.104711	0.805688	full	2817	99843911566465804286048751786089	-1,0,0,-1,-1,2,0	ok
-1.133267	-39.989980	-45.216720	0.807049	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.131263	-39.989980	-45.645591	0.804925	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.129259	-39.989980	-46.054809	0.803341	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.127255	-39.989980	-46.440696	0.802299	continued:5	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.125251	-39.989980	-46.799382	0.801590	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.123246	-39.989980	-47.129202	0.804256	full	352	11285551534964	-1,0,0,-1,0,0,0	ok
